epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,479.296,3.674,482.971,404.848,4.991,409.84
1,362.638,6.438,369.076,336.585,7.145,343.73
2,318.437,7.384,325.821,316.792,7.456,324.247
3,302.817,7.712,310.529,306.719,7.897,314.616
4,291.992,7.981,299.973,298.78,8.101,306.881
5,284.193,8.171,292.364,292.164,8.585,300.748
6,277.535,8.39,285.924,287.19,8.219,295.409
7,271.854,8.469,280.323,283.929,8.21,292.139
8,266.94,8.624,275.564,279.337,8.217,287.554
9,262.347,8.809,271.156,276.504,8.465,284.969
10,258.891,8.756,267.648,272.816,9.011,281.827
11,255.684,8.826,264.509,270.494,8.856,279.35
12,252.27,8.894,261.164,269.6,8.358,277.958
13,249.607,8.974,258.582,271.448,8.496,279.944
14,248.038,9.077,257.115,264.169,9.162,273.332
15,245.396,9.034,254.43,263.381,9.37,272.751
16,242.316,9.08,251.396,262.052,9.076,271.127
17,240.461,9.154,249.615,259.673,8.915,268.588
18,238.234,9.169,247.403,258.227,9.357,267.584
19,236.021,9.258,245.278,256.744,9.313,266.057
20,234.017,9.185,243.201,256.189,9.635,265.824
21,232.347,9.221,241.568,255.407,9.235,264.641
22,230.914,9.262,240.176,254.358,9.065,263.423
23,229.887,9.305,239.192,253.166,9.401,262.568
24,229.196,9.425,238.622,252.959,9.488,262.447
25,228.804,9.487,238.291,253.567,9.575,263.141
26,227.844,9.475,237.319,259.641,9.059,268.701
27,228.066,9.575,237.64,254.941,8.762,263.703
28,227.372,9.652,237.024,254.142,8.76,262.902
29,224.567,9.655,234.222,248.976,9.086,258.062
30,221.114,9.625,230.739,246.548,9.535,256.083
31,218.78,9.57,228.35,245.664,9.376,255.039
32,217.193,9.631,226.824,244.992,9.495,254.487
33,215.637,9.584,225.221,244.22,9.407,253.626
34,214.351,9.601,223.952,244.064,9.461,253.525
35,213.233,9.615,222.848,243.29,9.317,252.607
36,212.352,9.634,221.987,243.34,9.232,252.571
37,211.438,9.631,221.069,243.991,9.39,253.381
38,210.745,9.695,220.44,241.954,9.211,251.165
39,210.202,9.705,219.907,242.13,9.216,251.345
40,209.708,9.81,219.518,242.751,9.071,251.822
41,209.978,9.839,219.817,245.474,9.19,254.664
42,210.051,10.029,220.08,242.872,9.806,252.678
43,210.687,9.987,220.674,246.048,9.906,255.954
44,210.838,10.106,220.944,245.391,9.99,255.382
45,208.898,10.111,219.009,239.539,9.906,249.446
46,205.519,9.913,215.432,240.841,9.729,250.57
47,203.977,10.006,213.983,242.598,9.744,252.343
48,203.99,10.059,214.049,241.041,9.958,250.999
49,203.883,10.07,213.953,238.143,9.96,248.104
50,202.342,10.021,212.364,237.588,9.828,247.416
51,199.899,10.026,209.925,235.813,10.075,245.889
52,198.512,9.984,208.496,236.267,10.166,246.433
53,197.385,9.962,207.347,236.153,10.015,246.169
54,196.638,10.006,206.644,235.906,10.082,245.989
55,195.805,9.962,205.767,235.424,9.992,245.416
56,195.214,9.991,205.205,235.484,9.816,245.301
57,194.593,10.0,204.593,235.183,9.892,245.075
58,194.233,10.018,204.251,235.228,9.755,244.983
59,194.316,10.02,204.336,234.905,10.076,244.981
60,194.51,10.073,204.583,238.593,9.682,248.274
61,195.642,10.132,205.774,240.808,9.596,250.404
62,197.356,10.247,207.602,237.158,9.809,246.967
63,198.925,10.395,209.32,247.169,9.68,256.848
64,197.317,10.393,207.71,240.506,10.84,251.345
65,195.403,10.394,205.797,239.904,11.001,250.904
66,192.719,10.298,203.017,233.543,10.356,243.899
67,190.413,10.354,200.767,233.441,10.108,243.549
68,189.149,10.235,199.384,232.788,10.314,243.102
69,188.325,10.23,198.555,236.19,10.52,246.71
70,188.086,10.255,198.341,235.797,10.456,246.253
71,187.632,10.231,197.863,235.749,10.63,246.379
72,187.172,10.288,197.46,233.171,10.412,243.584
73,186.954,10.258,197.211,232.529,10.087,242.616
74,186.878,10.363,197.24,233.961,9.874,243.835
75,187.851,10.353,198.204,235.853,10.038,245.891
76,187.744,10.395,198.139,235.774,10.181,245.955
77,186.883,10.327,197.21,232.831,10.8,243.631
78,185.393,10.349,195.742,233.105,10.577,243.681
79,184.416,10.359,194.775,232.422,10.15,242.572
80,183.832,10.32,194.152,233.205,10.087,243.292
81,184.292,10.356,194.648,234.269,10.444,244.714
82,184.376,10.438,194.814,235.756,10.84,246.596
83,184.57,10.463,195.034,237.327,10.231,247.559
84,184.648,10.458,195.106,243.395,9.911,253.306
85,186.663,10.687,197.35,247.35,9.751,257.101
86,188.896,10.698,199.593,250.709,9.711,260.42
87,190.793,10.822,201.614,245.241,10.22,255.461
88,191.045,10.945,201.99,239.832,10.74,250.573
89,187.475,10.801,198.276,236.351,10.936,247.287
90,182.798,10.706,193.504,230.973,10.655,241.628
91,179.051,10.541,189.592,230.34,10.612,240.952
92,177.39,10.504,187.894,229.731,10.274,240.004
93,176.449,10.492,186.941,230.01,10.459,240.469
94,175.727,10.447,186.173,230.212,10.323,240.535
95,175.157,10.482,185.639,231.005,10.333,241.337
96,174.927,10.452,185.379,230.155,10.254,240.41
97,174.541,10.487,185.027,231.297,10.237,241.533
98,174.18,10.441,184.621,231.281,10.294,241.576
99,173.695,10.438,184.133,231.56,10.37,241.93
