epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,531.087,0.547,531.634,494.083,0.509,494.592
1,464.264,2.516,466.78,449.02,3.064,452.084
2,439.594,3.019,442.612,437.637,3.158,440.795
3,425.005,3.447,428.452,420.909,3.547,424.456
4,411.377,3.75,415.127,413.607,3.865,417.472
5,405.232,3.886,409.118,410.15,4.0,414.149
6,399.563,4.202,403.765,404.767,4.676,409.443
7,384.19,5.52,389.71,391.81,5.982,397.791
8,372.963,6.008,378.971,379.15,6.009,385.159
9,361.791,6.325,368.116,377.601,6.331,383.932
10,352.547,6.592,359.139,371.092,6.542,377.633
11,345.664,6.743,352.408,367.039,6.556,373.596
12,336.891,7.02,343.911,366.793,6.997,373.79
13,332.7,7.197,339.897,363.84,6.91,370.75
14,329.122,7.278,336.4,357.671,7.246,364.917
15,324.015,7.453,331.468,362.637,7.358,369.995
16,319.851,7.641,327.492,358.334,7.553,365.886
17,315.585,7.684,323.27,356.852,7.465,364.317
18,311.434,7.886,319.32,353.642,7.41,361.051
19,308.429,7.973,316.402,356.025,7.571,363.596
20,304.026,8.038,312.064,356.491,7.649,364.141
21,300.284,8.098,308.382,362.275,7.866,370.141
22,296.767,8.149,304.916,360.849,7.988,368.837
23,294.982,8.316,303.298,360.528,7.794,368.321
24,291.693,8.372,300.065,357.181,8.153,365.334
25,287.13,8.478,295.607,358.241,8.002,366.243
26,285.235,8.451,293.686,358.168,8.178,366.346
27,283.066,8.605,291.672,360.438,8.164,368.601
28,281.582,8.643,290.225,359.192,8.317,367.509
29,276.793,8.787,285.58,358.849,8.379,367.228
30,273.706,8.853,282.559,362.378,8.741,371.12
31,273.773,8.796,282.569,364.375,8.565,372.94
32,270.851,8.965,279.817,360.994,8.472,369.466
33,269.803,9.066,278.87,362.228,8.438,370.666
