epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,515.699,4.382,520.08,468.861,5.101,473.962
1,448.025,5.242,453.267,445.066,7.544,452.61
2,414.76,8.321,423.081,409.62,10.022,419.643
3,381.396,11.298,392.694,381.998,12.712,394.71
4,351.769,13.858,365.626,363.544,13.489,377.032
5,333.32,14.955,348.275,348.893,15.456,364.349
6,319.959,16.058,336.016,345.046,15.311,360.357
7,306.516,17.461,323.977,337.142,17.164,354.305
8,291.892,18.726,310.618,334.811,18.146,352.957
9,279.596,19.88,299.476,328.168,18.692,346.86
10,267.138,20.938,288.076,327.504,19.4,346.905
11,257.896,21.788,279.684,328.812,20.131,348.943
12,244.965,22.823,267.788,324.917,20.484,345.401
13,235.89,23.735,259.625,325.804,21.348,347.152
14,225.739,24.535,250.275,325.36,22.097,347.457
15,216.61,25.526,242.136,326.031,21.623,347.653
16,207.021,26.078,233.099,324.21,23.188,347.399
17,198.261,27.04,225.301,332.071,23.638,355.709
18,188.195,27.773,215.968,333.494,23.396,356.89
19,180.918,28.263,209.182,336.949,23.66,360.609
20,170.568,29.095,199.662,335.538,24.286,359.825
21,163.211,29.75,192.961,335.508,25.215,360.723
22,155.595,30.238,185.834,341.169,25.133,366.302
23,146.022,31.05,177.072,355.708,25.737,381.445
24,139.456,31.328,170.785,355.36,25.586,380.947
25,131.366,31.886,163.252,356.096,26.065,382.161
26,126.043,32.166,158.209,366.461,26.411,392.872
27,119.591,32.635,152.225,368.188,25.372,393.56
