epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,530.82,1.199,532.018,466.211,4.088,470.299
1,445.358,3.734,449.092,428.785,4.516,433.301
2,414.113,5.18,419.293,404.588,5.646,410.235
3,389.904,6.215,396.119,392.227,6.303,398.529
4,378.528,6.684,385.213,383.223,6.861,390.084
5,369.823,6.987,376.81,379.55,7.314,386.864
6,360.773,7.339,368.112,379.023,7.309,386.331
7,357.687,7.427,365.114,371.887,7.554,379.441
8,351.459,7.61,359.069,367.824,7.408,375.232
9,346.895,7.761,354.656,367.321,7.462,374.782
10,342.766,7.917,350.683,368.477,7.561,376.039
11,338.992,8.011,347.003,364.425,7.951,372.376
12,337.438,8.133,345.571,364.592,7.843,372.434
13,331.836,8.28,340.116,359.929,7.915,367.845
14,328.265,8.33,336.595,360.602,8.03,368.631
15,326.856,8.377,335.232,361.597,8.068,369.665
16,322.609,8.438,331.046,361.219,7.968,369.187
17,322.55,8.562,331.112,361.414,8.053,369.467
18,319.015,8.637,327.652,358.693,8.076,366.769
19,317.406,8.694,326.1,360.359,8.225,368.583
20,314.785,8.764,323.548,354.291,8.528,362.819
21,312.439,8.891,321.331,356.691,8.374,365.065
22,310.544,8.865,319.409,360.424,8.033,368.458
23,307.652,8.963,316.615,358.028,8.56,366.589
24,305.923,9.061,314.984,352.268,8.604,360.872
25,304.786,9.092,313.878,355.912,8.56,364.472
26,303.522,8.981,312.503,355.677,8.71,364.387
27,301.072,9.275,310.347,357.52,8.692,366.212
28,300.767,9.1,309.867,359.602,8.561,368.163
29,297.764,9.324,307.088,357.658,8.842,366.499
30,297.202,9.227,306.428,357.711,8.624,366.335
31,297.522,9.357,306.879,358.872,8.801,367.673
32,295.524,9.33,304.854,358.832,8.736,367.568
33,292.885,9.497,302.382,355.501,8.708,364.209
34,292.063,9.48,301.543,354.51,9.053,363.563
35,289.098,9.586,298.684,357.415,8.817,366.232
36,288.996,9.605,298.6,353.717,9.184,362.901
37,287.915,9.65,297.566,362.607,8.676,371.283
38,287.865,9.629,297.494,355.547,9.216,364.763
39,283.463,9.846,293.309,359.797,9.122,368.919
